controlled_company_number,controller_company_number,controller_name,notified_on,ceased_on,ceased,nature_of_control,legal_form,legal_authority,country_registered,place_registered,psc_kind,source_url,etag
"00077628","03782379","Carillion Plc","2016-04-06","",false,"ownership-of-shares-75-to-100-percent","Public Limited Company","Companies Act 2006","England & Wales","Companies House","corporate-entity-person-with-significant-control","https://api.company-information.service.gov.uk/company/00077628/persons-with-significant-control/corporate-entity/KBjS_JQoJDFlfPaa0CAclVQ5vh4","d728a988a9c31c1a6fcd609b8cd3171dd052e6df"
"00077628","03782379","Carillion Plc","2016-04-06","",false,"voting-rights-75-to-100-percent","Public Limited Company","Companies Act 2006","England & Wales","Companies House","corporate-entity-person-with-significant-control","https://api.company-information.service.gov.uk/company/00077628/persons-with-significant-control/corporate-entity/KBjS_JQoJDFlfPaa0CAclVQ5vh4","d728a988a9c31c1a6fcd609b8cd3171dd052e6df"
"00077628","03782379","Carillion Plc","2016-04-06","",false,"right-to-appoint-and-remove-directors","Public Limited Company","Companies Act 2006","England & Wales","Companies House","corporate-entity-person-with-significant-control","https://api.company-information.service.gov.uk/company/00077628/persons-with-significant-control/corporate-entity/KBjS_JQoJDFlfPaa0CAclVQ5vh4","d728a988a9c31c1a6fcd609b8cd3171dd052e6df"
"00594581","03782379","Carillion Plc","2016-04-06","",false,"ownership-of-shares-75-to-100-percent","Public Limited Company","Companies Act 2006","England & Wales","Companies House","corporate-entity-person-with-significant-control","https://api.company-information.service.gov.uk/company/00594581/persons-with-significant-control/corporate-entity/2ymgzihg03OHUVxAco3oC1z_2FQ","8543176ff4e8ce5737a06c1ab149b6b11f397ff2"
"00594581","03782379","Carillion Plc","2016-04-06","",false,"voting-rights-75-to-100-percent","Public Limited Company","Companies Act 2006","England & Wales","Companies House","corporate-entity-person-with-significant-control","https://api.company-information.service.gov.uk/company/00594581/persons-with-significant-control/corporate-entity/2ymgzihg03OHUVxAco3oC1z_2FQ","8543176ff4e8ce5737a06c1ab149b6b11f397ff2"
"00594581","03782379","Carillion Plc","2016-04-06","",false,"right-to-appoint-and-remove-directors","Public Limited Company","Companies Act 2006","England & Wales","Companies House","corporate-entity-person-with-significant-control","https://api.company-information.service.gov.uk/company/00594581/persons-with-significant-control/corporate-entity/2ymgzihg03OHUVxAco3oC1z_2FQ","8543176ff4e8ce5737a06c1ab149b6b11f397ff2"
"02684154","00077628","Carillion Jm Limited","2016-04-06","",false,"ownership-of-shares-75-to-100-percent","Private Limited Company","Companies Act 2006","England & Wales","Companies House","corporate-entity-person-with-significant-control","https://api.company-information.service.gov.uk/company/02684154/persons-with-significant-control/corporate-entity/cydADinI4eKl7WzRiaOMSnWWwF8","cc5fa97801268e3af9728f762723d2ba1e6bdac3"
"02684154","00077628","Carillion Jm Limited","2016-04-06","",false,"voting-rights-75-to-100-percent","Private Limited Company","Companies Act 2006","England & Wales","Companies House","corporate-entity-person-with-significant-control","https://api.company-information.service.gov.uk/company/02684154/persons-with-significant-control/corporate-entity/cydADinI4eKl7WzRiaOMSnWWwF8","cc5fa97801268e3af9728f762723d2ba1e6bdac3"
"02684154","00077628","Carillion Jm Limited","2016-04-06","",false,"right-to-appoint-and-remove-directors","Private Limited Company","Companies Act 2006","England & Wales","Companies House","corporate-entity-person-with-significant-control","https://api.company-information.service.gov.uk/company/02684154/persons-with-significant-control/corporate-entity/cydADinI4eKl7WzRiaOMSnWWwF8","cc5fa97801268e3af9728f762723d2ba1e6bdac3"
