company_number,company_name
03011791,CARILLION SERVICES LIMITED
00680231,SOVEREIGN CONSULTANCY SERVICES LIMITED
07017305,INSPIREDSPACES ROCHDALE (PSP1) LIMITED
08137485,PFP-IGLOO NOMINEES LIMITED
SC023190,MOWLEM SCOTLAND LIMITED
00881324,CARILLION SUPPORT SERVICES & INVESTMENTS LIMITED
01294261,ERNEST IRELAND CONSTRUCTION LIMITED
10546542,CARILLION RESOURCING LIMITED
06404751,ASK (EXCHANGE EAST) LIMITED
01122105,STIELL FACILITIES LIMITED
02574792,CARILLION SPECIALIST SERVICES LIMITED
10556292,CARILLION ADVICE SERVICES LIMITED
05325813,CLINICENTA LIMITED
07033153,THE COOKWARE COMPANY UK & IRELAND LIMITED
06404740,ASK (EXCHANGE EAST) DEVELOPMENTS LIMITED
06440415,OAKLANDS OFFICE PARK (MANAGEMENT) LIMITED
05308544,CEDAR ANCHORWOOD LIMITED
04979205,SOVEREIGN HARBOUR WATERFRONT LIMITED
01180475,CARILLION TECHNICAL SERVICES (INSTALLATION) LIMITED
01449086,ALFRED MCALPINE INTERNATIONAL LIMITED
SC083991,STIELL INFRAMAN LIMITED
SC020258,CARILLION (AMBS) LIMITED
11581591,POTTERS HILL MANAGEMENT COMPANY LIMITED
SC203910,CARILLION (AMBS) HOLDINGS LIMITED
10551384,THE ACORNS RESIDENTS MANAGEMENT COMPANY LIMITED
10633160,ARAMARK DEFENCE SERVICES LIMITED
01577583,W A INVESTMENTS LIMITED
05754891,EAGA HEATING LIMITED
14591257,FOUNDERS PLACE (NEWCASTLE) MANAGEMENT COMPANY LTD
14840096,ASK PELOTON LIMITED
SC014842,GLASGOW STOCKHOLDERS TRUST LIMITED
11059403,OASIS ONE HUNDRED (DEVELOPMENTS) LIMITED
OC392861,ASK EMBANKMENT 100 LLP
10757831,CARILLION TRAINING LIMITED
09008001,ASK REAL ESTATE (INVESTMENTS) LIMITED
03130297,CARILLION MANAGED SERVICES LIMITED
04322876,CARILLION PROPERTY SERVICES LIMITED
02112970,WAKEREMOTE LIMITED
04435931,CEDAR THANET PHASE 2 LIMITED
01528870,ALFRED MCALPINE PENSION TRUSTEES LIMITED
02319285,WINNER DEVELOPMENTS LIMITED
